;;;add;addi;addiw;addw;and;andi;auipc;beq;beqz;bge;bgeu;bgez;blt;bltu;bltz;bne;bnez;csrc;csrr;csrs;csrw;div;j;jal;jr;lbu;ld;lh;lhu;li;lui;lw;lwu;mul;mulw;mv;nop;or;remuw;remw;ret;sb;sd;seqz;sext,w;sh;sll;slli;slliw;sllw;sltiu;sraiw;srli;srliw;stall;sub;subw;sw;xor;xori
3_adpcm,instr,csv;adpcm,instr,csv;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3_bs,instr,csv;bs,instr,csv;2183,026;8;9;5;4;2;1;3;0;1;8;1;0;0;0;1;4;0;1;3;3;1;0;5;2;0;0;3;0;0;46;5;46;0;0;0;2;0;0;0;0;2;0;3;0;0;0;0;8;0;0;0;4;0;0;606;0;0;13;0;0
3_compress,instr,csv;compress,instr,csv;2498,764;51;364;160;150;2;101;3;0;2;53;1;16;12;0;1;0;0;1;3;3;1;0;6;5;0;0;22;0;0;101;65;307;0;0;0;56;3;0;0;50;5;50;284;0;0;0;0;10;100;2;0;50;1;50;5732;0;51;159;0;0
3_cover,instr,csv;cover,instr,csv;2355,322;180;195;361;0;2;1;3;0;1;183;1;0;0;180;1;0;0;1;3;3;1;0;184;4;180;0;5;0;0;397;185;910;180;0;0;10;0;0;0;0;4;0;5;0;0;0;0;180;0;0;0;0;0;0;11301;0;0;370;0;0
3_crc,instr,csv;crc,instr,csv;2406,752;2215;3767;6739;0;2;1277;3;0;1;4608;599;4178;0;0;5;0;2;1;3;3;1;0;2569;515;0;1618;609;4610;10833;5679;3162;8788;0;0;0;4619;0;514;0;0;515;1027;523;0;0;8456;0;1701;8528;0;0;2812;1107;595;256630;0;0;4610;2724;0
3_duff,instr,csv;duff,instr,csv;2275,287;101;98;108;2;2;302;3;0;1;0;1;0;107;1;1;0;0;1;3;3;1;0;2;3;1;43;190;0;0;41;5;617;0;0;0;1;3;0;0;0;3;143;93;0;0;0;0;2;0;0;0;3;1;2;8735;0;101;110;0;0
3_expint,instr,csv;expint,instr,csv;2364,434;150;13;151;49;2;1;3;100;2;152;1;0;0;0;1;0;0;1;3;3;1;199;103;3;0;0;561;0;0;144;5;948;0;102;0;3;1;0;0;0;3;0;359;0;1;0;1;0;0;0;0;0;0;0;15491;199;100;153;0;0
3_fac,instr,csv;fac,instr,csv;2270,08;0;69;22;6;2;1;3;0;1;7;1;0;0;0;1;0;21;1;3;3;1;0;8;22;0;0;44;0;0;41;5;84;0;0;15;58;0;0;0;0;22;0;44;0;0;0;0;0;0;0;0;0;0;0;1576;0;0;36;0;0
3_fdct,instr,csv;fdct,instr,csv;2378,997;200;186;209;400;2;1;3;0;1;18;1;0;0;0;1;0;0;1;3;3;1;0;3;2;0;0;405;257;0;53;199;1234;0;0;192;129;1;0;0;0;2;0;22;0;0;128;0;272;144;0;0;240;0;0;18772;72;112;659;0;0
3_fibcall,instr,csv;fibcall,instr,csv;2160,68;0;9;30;29;2;1;3;0;1;29;1;0;30;0;1;0;0;1;3;3;1;0;2;2;0;0;3;0;0;67;5;237;0;0;0;2;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;2791;0;0;122;0;0
3_fir,instr,csv;fir,instr,csv;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3_insertsort,instr,csv;insertsort,instr,csv;2338,816;18;6;19;0;2;1;3;0;1;10;1;0;0;9;1;0;0;1;3;3;1;0;11;1;0;0;1;0;0;84;5;64;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;18;0;0;0;0;0;0;735;0;0;30;0;0
3_janne_complex,instr,csv;janne;2305,88;0;9;39;4;2;1;3;0;1;34;1;0;25;0;1;0;0;1;3;3;1;0;6;2;0;0;3;0;0;75;5;125;0;0;0;6;0;0;0;0;2;0;3;0;0;0;0;0;4;0;0;0;0;0;1447;0;0;48;0;0
3_jfdctint,instr,csv;jfdctint,instr,csv;2327,84;64;427;465;576;2;1;3;0;1;65;1;18;0;0;1;0;0;1;3;3;1;0;4;2;0;0;403;0;0;102;309;1443;0;0;192;64;2;0;0;64;2;0;21;0;0;0;0;64;144;0;0;112;0;0;19724;0;112;788;0;0
3_lcdnum,instr,csv;lcdnum,instr,csv;2213,467;5;21;11;0;2;6;3;0;1;0;1;0;21;5;1;0;0;1;3;3;1;0;7;6;5;25;7;0;0;61;5;47;0;0;0;26;0;0;0;0;6;25;7;0;0;0;0;10;0;0;0;0;5;0;872;0;0;12;0;0
3_matmult,instr,csv;matmult,instr,csv;2342,881;61084;2420;7523;6429;2;1;3;0;1;6220;1;0;0;0;1;0;0;1;3;3;1;0;298;806;0;0;21174;0;0;6511;805;19411;0;0;4829;41523;3;0;0;800;803;0;823;0;0;0;0;61084;1600;0;0;0;0;0;247272;0;0;7554;0;0
3_ndes,instr,csv;ndes,instr,csv;2277,778;5599;8552;2576;512;3002;1209;3;45;2235;182;1;0;2263;0;1;29;0;1;3;3;1;0;595;986;0;1336;19771;0;0;3677;3261;12638;0;0;0;4042;33;2416;0;0;986;128;8408;0;0;0;0;6502;256;0;0;384;200;0;338056;48;492;5209;64;0
3_ns,instr,csv;ns,instr,csv;2411,154;4375;9;781;0;2;1;3;0;1;936;1;0;0;0;1;625;0;1;3;3;1;0;157;2;0;0;3;0;0;1597;5;5466;0;0;0;2501;1;0;0;0;2;0;3;0;0;0;0;3750;0;0;0;0;0;0;40287;1250;0;937;0;0
3_nsichneu,instr,csv;nsichneu,instr,csv;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3_prime-rodolfo,instr,csv;prime-rodolfo,instr,csv;2331,634;0;6;296;0;2;1;3;0;135;171;1;0;0;0;1;27;0;1;3;3;1;0;38;1;0;0;1;0;0;65;5;816;0;0;0;1;18;0;0;134;1;0;1;0;0;0;0;0;0;0;0;0;0;0;8763;0;0;182;0;0
3_prime,instr,csv;prime,instr,csv;2402,881;0;1319;433;0;2;435;3;0;434;0;433;0;0;0;1;0;1;1;3;3;1;0;3;438;0;0;447;0;0;39;7;3461;0;0;432;877;1;0;432;0;438;0;445;432;0;0;0;0;0;0;2;0;0;0;44960;0;0;1305;0;2
Total;;;74050;17479;19928;8161;3036;3342;54;145;2821;12676;1048;4212;2458;195;22;685;24;18;54;54;18;199;4001;2802;186;3022;43652;4867;10833;18780;8043;56642;180;102;5660;53921;66;2930;432;1048;2799;1373;11048;432;1;8584;1;73601;10776;2;2;3605;1314;647;1023750;1569;968;22297;2788;2
